"country code",Country,World region,Survey ,Year,"Multidimensional Poverty Index","Headcount ratio: Population in multidimensional poverty (H)","Intensity of deprivation among the poor(A)",Vulnerable to poverty ,In severe poverty ,Year of the survey,Population 2019,Population 2020,Population share by headship,"Population size by headship",Number of MPI poor by headship,Health,Education,Living Standards,Nutrition,Child mortality,Years of schooling,School attendance,"Cooking fuel",Sanitation,Drinking water,Electricity,Housing,Assets
PSE,"Palestine, State of",Arab States,MICS,2020,0.0046600328,1.2453883649,37.4183098471,2.993166105,0,5019.401,4909.775,5019.401,6.4531898708,323.9114685059,4.033955574,73.7924575806,13.1799966097,13.0275443196,41.0413026262,32.7511573645,11.7903164081,1.3896799412,0,11.6205495232,0,0,0.7034970684,0.7034970684
PNG,Papua New Guinea,East Asia and the Pacific,DHS,2018,0.2610319573,54.4034583378,47.9807654372,22.4690931968,28.6659366041,9329.227,9542.486,9749.64,15.5378061651,1514.8801269531,824.1471557617,3.8849189878,32.8521221876,63.2629573345,,3.884918881,14.9451290507,17.9069938885,11.5344477178,10.3376679022,8.8517954441,11.3361474941,10.5419155344,10.6609840871
PRY,Paraguay,Latin America and the Caribbean,MICS,2016,0.0171713568,4.2952591793,39.9774637675,7.4496424488,0.7678674472,6266.615,6530.026,6618.695,38.7284145413,2563.3156738281,110.1010513306,14.0337884426,38.3032768965,47.6629346609,12.3828247668,1.650963354,26.3209825704,11.9822957134,12.5075927704,11.1643036389,4.4937847848,3.4440134724,11.3653577024,4.6878812264
PER,Peru,Latin America and the Caribbean,ENDES,2019,0.0242422509,6.172317437,39.275768252,10.3678473204,0.7778384162,32824.861,32824.861,33304.756,25.0819761642,8353.4912109375,515.6040039063,11.0306628048,37.2762143612,51.693123579,9.8438706735,1.1867921645,22.3510882589,14.9251272421,10.4984974956,11.4093741595,5.7105838187,3.4508557608,13.2124576072,7.411352819
PHL,Philippines,East Asia and the Pacific,DHS,2017,0.0205416048,5.1514353854,39.8754973623,5.9398546585,0.8542173357,106738.501,110380.804,112190.977,17.3288945275,19441.45703125,1001.5140991211,17.0344978571,33.6675405502,49.2979615927,,17.0344984313,22.5427705851,11.1247690706,11.9651454536,8.6263699086,4.2411314608,5.2560733242,10.155737995,9.0535037709
RWA,Rwanda,Sub-Saharan Africa,DHS,2020,0.2531345287,52.5260532695,48.1921852086,21.9447611571,22.5582502139,13146.362,12835.028,13146.362,26.8702683745,3532.4626464844,1855.4632568359,15.9833058715,28.7114471197,55.3052484989,14.0320233471,1.9512819757,22.730991537,5.9804564525,11.5147138221,6.5559720465,7.7219707015,8.9831243118,10.575652757,9.9538130489
LCA,Saint Lucia,Latin America and the Caribbean,MICS,2012,0.0085844245,2.2422525497,38.2848242132,1.61821161,0,173.124,178.583,179.237,43.0862817459,77.2265625,1.7316145897,72.5806355476,2.9683455825,24.4510173798,72.5806362579,,2.968345593,0,1.9734361546,7.2480013758,1.4248955523,1.4248955523,10.1220678741,2.2577216399
WSM,Samoa,East Asia and the Pacific,MICS,2020,0.0328969591,8.3403009905,39.4433715892,12.6425123276,0.4487850486,214.929,211.905,214.929,22.0946244818,47.4877548218,3.9606215954,42.5079792738,30.8315843344,26.6604363918,35.6740906706,6.83388939,0.6705441298,30.1610394179,8.8114870332,1.7730938923,0,0,11.5946995097,4.4811559566
STP,Sao Tome and Principe,Sub-Saharan Africa,MICS,2019,0.0459767324,11.3515430248,40.5026280015,18.0235321336,1.8046848812,214.599,214.599,218.641,41.3771919419,90.4675064087,10.2694578171,15.0278583169,39.7720038891,45.2001392841,13.2894523506,1.7384059445,27.2807124232,12.4912904495,10.6302936898,13.0228367115,3.3819821235,8.2131697251,0.7664877511,9.1853688312
SEN,Senegal,Sub-Saharan Africa,DHS,2019,0.2004185545,40.7507359454,49.181579139,17.9926017101,17.5591565021,16000.781,16000.781,16436.12,26.7298675343,4393.3530273438,1790.3237304688,20.1770722866,50.2624511719,29.5604765415,16.4712402015,3.7058318103,21.5856182666,28.6768324038,10.3945502901,5.9644302362,2.9173484316,4.5494644745,3.889213669,1.8454702164
SRB,Serbia,Europe and Central Asia,MICS,2019,0.0007425532,0.2001430725,37.1011182571,2.4158478969,0.0306154019,7401.056,7401.056,7358.005,25.2309330305,1856.4932861328,3.7156426907,15.3197899461,36.4741384983,48.2060730457,8.4481377035,6.8716519129,36.474138092,0,14.9740919318,9.0453237848,3.347807909,2.2128079123,13.903103348,4.7229374057
